,start,user,duration,totalDistancekM,L_total,R_total,drive_night,jrny,average_duration,average_distance,LR_Ratio,nightDrive_percentage,start_m,start_y,start,user,Overall_Total_Celeration,Overall_Total_Acc,Overall_Hard_Acc,Overall_Total_Ret,Overall_Hard_Ret,JA_Total_Celeration,JA_Total_Acc,JA_Hard_Acc,JA_Total_Ret,JA_Hard_Ret,RA_Total_Celeration,RA_Total_Acc,RA_Hard_Acc,RA_Total_Ret,RA_Hard_Ret,RE_Total_Celeration,RE_Total_Acc,RE_Hard_Acc,RE_Total_Ret,RE_Hard_Ret,start,user,motorway_link,motorway,trunk,tertiary,primary,service,trunk_link,residential,unclassified,secondary,secondary_link,primary_link,tertiary_link,construction,living_street,pedestrian,road,footway,track
10,2022-01-31,2,38680,596.64515325784,253.0,269.0,1,22,1758.1818181818182,27.120234238992726,0.9405204460966543,0.045454545454545456,1,2022,2022-01-31 00:00:00+00:00,2,1140,554,3,586,17,203,66,0,137,1,126,57,1,69,9,68,45,0,23,1,2022-01-31 00:00:00+00:00,2,8.36638917176,284.897718972,128.745975298535,37.74513863601,63.10729261971,2.23784692277,1.69118057032,15.77090221239,2.59874998384,49.60222274114,0.10986110229,0.10916666305,0.0204166645,0,0,0,0,0,0
11,2022-01-31,3,51341,486.836391582035,595.0,488.0,9,92,558.054347826087,5.29169990850038,1.2192622950819672,0.09782608695652174,1,2022,2022-01-31 00:00:00+00:00,3,2558,1211,6,1347,38,510,232,4,278,14,262,116,1,146,3,95,64,0,31,0,2022-01-31 00:00:00+00:00,3,0.0,0.0,174.09465759097,109.02611114893,49.349931231725,23.425345540895,0.292916673,19.51958119643,60.270278150525,49.56444505578,0.03902777645,0.06951388453,0.0143055552,0,0,0,0,0,0
12,2022-01-31,4,48155,293.665271795755,1071.0,966.0,7,103,467.5242718446602,2.851119143648107,1.108695652173913,0.06796116504854369,1,2022,2022-01-31 00:00:00+00:00,4,3272,1827,13,1445,25,1060,489,5,571,9,62,30,0,32,0,31,19,0,12,2,2022-01-31 00:00:00+00:00,4,0.0,0.0,27.62951385142,77.81840224561999,100.874235463885,5.53847160043,0.0589583325,37.26680226837,19.17083257638,23.266527750374998,0.0100694432,0.06666665722,1.109861031255,0,0,0,0,0,0
13,2022-01-31,5,33006,246.75360785542,365.0,378.0,5,57,579.0526315789474,4.329010664130175,0.9656084656084656,0.08771929824561403,1,2022,2022-01-31 00:00:00+00:00,5,1778,948,6,830,19,347,157,1,190,2,100,48,2,52,1,24,19,0,5,0,2022-01-31 00:00:00+00:00,5,0.0,0.0,18.67618051629,24.623124495145,107.03374978145,2.4196523928850002,0.07979165852,48.066665007575,5.839930086845,38.166250046449996,0.008819444499999999,0.0263194455,0.17499998294,0,0,0,0,0,0
14,2022-02-28,1,66769,469.751451194515,741.0,669.0,7,80,834.6125,5.871893139931438,1.1076233183856503,0.0875,2,2022,2022-02-28 00:00:00+00:00,1,2991,1601,8,1390,13,454,136,1,318,4,283,132,0,151,3,149,108,0,41,0,2022-02-28 00:00:00+00:00,1,0.0,0.0,64.75604275791,121.631109476575,11.4819444744,6.07069311715,1.0847916627,59.340829217685,5.058818414415,199.127847097915,0.133055544505,0.11361109621,0.22062499395,0,0,0,0,0,0
15,2022-02-28,2,22614,290.03840793422,186.0,191.0,0,17,1330.235294117647,17.06108281966,0.9738219895287958,0.0,2,2022,2022-02-28 00:00:00+00:00,2,727,355,2,372,4,165,64,0,101,2,65,29,1,36,1,28,17,0,11,0,2022-02-28 00:00:00+00:00,2,2.0856250775,104.9335454,51.397778491665,36.311736074885,41.25430652344,2.40965245813,0.313541645385,10.46895795701,2.46388889715,37.47562538758,0.11041666665000001,0.030347217575,0.01784722205,0,0,0,0,0,0
16,2022-02-28,3,47685,436.35201537417,592.0,456.0,12,77,619.2857142857143,5.666909290573636,1.2982456140350878,0.15584415584415584,2,2022,2022-02-28 00:00:00+00:00,3,2276,1100,5,1176,40,488,215,1,273,21,274,117,0,157,2,140,95,0,45,1,2022-02-28 00:00:00+00:00,3,0.0,0.0,159.78910143843999,106.90291660805,54.98340311661,10.70805433639,0.015972222,17.278817366465,44.920486359305,41.359791705679996,0.0,0.0,0.05388888513,0,0,0,0,0,0
17,2022-02-28,4,34944,242.071038552205,728.0,673.0,7,60,582.4,4.034517309203417,1.0817236255572065,0.11666666666666667,2,2022,2022-02-28 00:00:00+00:00,4,2233,1232,16,1001,26,599,280,3,319,12,36,14,0,22,0,18,13,0,5,0,2022-02-28 00:00:00+00:00,4,0.0,0.0,11.868194279859999,50.74222174946,101.878194555955,2.255277484705,0.0,28.54999776165,23.423333081600003,21.711458574285,0.0016666631,0.06611108599,0.41958330495999996,0,0,0,0,0,0
18,2022-02-28,5,47659,480.511877683635,480.0,448.0,1,56,851.0535714285714,8.580569244350626,1.0714285714285714,0.017857142857142856,2,2022,2022-02-28 00:00:00+00:00,5,2025,1099,10,926,15,355,151,2,204,5,63,34,0,29,1,21,17,0,4,0,2022-02-28 00:00:00+00:00,5,0.0,0.0,22.95486119399,61.495139317654996,247.171461682705,2.42159697058,0.0702777678,47.530970861035,33.37972231922,58.68701416535,0.0113888875,0.09187499333,0.0,0,0,0,0,0,0
19,2022-03-31,1,69563,526.81520396545,860.0,736.0,2,109,638.1926605504588,4.833167008857339,1.1684782608695652,0.01834862385321101,3,2022,2022-03-31 00:00:00+00:00,1,3055,1634,7,1421,19,595,192,1,403,7,346,165,2,181,3,160,126,0,34,1,2022-03-31 00:00:00+00:00,1,0.0,0.0,131.01375246656,132.51242954377,17.30909728725,4.253263063215,0.34444443337999997,82.238050816315,5.615207413035,150.549028367585,0.07986109219,0.07138889253,0.3225694399,0,0,0,0,0,0
